Checked	Common_name	Code	Date_received	Location.x	Region	Ocean	Cause_of_death	What	Info_sent	Extracted	Info_requested	Other_info	Archiving_info	scrubbed_uoa_code	reconciled_alternate_code	UoA_Code	Species_subspecies	LatitudeS_Northing	LongitudeE_Easting	Tissue_Type	Collected_By	DoC_Agency	TL_m	Age_Class	Sex_observed	Pregnant?	Doc_incident_no	Doc_animal_no	Franz_source_code	Massey_Code	MONZ_code	CETOS_code	Necropsy_file_no_Pathology_no	Genetic_Sex	mtDNA_haplotype	no_microsatellites	MHC_DQA	MHC_DQB	reconciliation_notes	pathology_code	hologenome_region	collection_date_mod	broad_location	review
NA	Maui dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHENI020	NA	CheNI020	Cephalorhynchus hectori maui	NA	NA	museum, beachcast	NA	Wellington	NA	NA	NA	NA	N/A	13	NA	NA	MONZ 1615	NA	NA	NA	N	0	no	no	Subspecies designation based on location;Believe this is Māui sample from Pichler and Baker (2000) identified as having 'N' haplotype, but exact collection location unknown	NA	Maui	1-Jan-67	NA	OK
NA	Maui dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHENI021	NA	CheNI021 (KTUW2)	Cephalorhynchus hectori maui	NA	NA	stomach content tissue	Craig Thorburn, Kelly Tarlton's	NA	NA	NA	NA	NA	NA	NA	KTUW2	NA	NA	NA	NA	M	G	0	no	no	Subspecies designation based on location	NA	NA	1999	NA	OK
NA	Maui dolphin	CheNI22	NA	Whatipu, Auckland	Auckland	Tasman	NA	NA	NA	No	NA	TL 1.20m	NA	CHENI022	NA	CheNI022	Cephalorhynchus hectori maui	NA	NA	beachcast	NA	NA	NA	foetus	Female	NA	NA	NA	714/2	NA	NA	NA	NA	F	G	5	no	no	common and species names modified based on DOC_Massey;Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	Maui	20-Oct-1998	Auckland	OK
NA	Maui dolphin	CheNI23	NA	Karioitahi Beach, Waiaku, South Auckland	Auckland	Tasman	NA	NA	NA	No	NA	TL 1.34mNet marks, report of it being cut out of net by fishermen	NA	CHENI023	NA	CheNI023	Cephalorhynchus hectori maui	NA	NA	beachcast	NA	NA	NA	calf	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	F	G	5	no	no	common and species names modified based on DOC_Massey;Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	Maui	1-Nov-1998	Auckland	OK
NA	Maui dolphin	CheNI24	NA	Whatipu, Auckland	Auckland	Tasman	NA	NA	NA	No	NA	TL 1.24m	NA	CHENI024	NA	CheNI024	Cephalorhynchus hectori maui	NA	NA	beachcast	NA	NA	NA	adult	Female	NA	NA	NA	714/1	NA	NA	NA	29718	F	G	5	no	no	common and species names modified based on DOC_Massey	NA	Maui	20-Oct-1998	Auckland	OK
NA	Maui dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHENI030	NA	CheNI030	Cephalorhynchus hectori maui	-38.0646	174.8248	beachcast	Garry Hickman	Waikato (South Auckland)	NA	adult	Female	not pregnant	N/A	294	NA	WB00-09Ch	NA	NA	31122	F	G	10	no	yes	Subspecies designation based on location	NA	Maui	5-Mar-2000	Waikato	OK
NA	Maui dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHENI057	NA	CheNI057	Cephalorhynchus hectori maui	-37.2823	174.6531	beachcast (prob. Entanglement)	NA	Auckland (South Auckland)	NA	adult	Unknown	NA	N/A	317	NA	WB01-06Ch	NA	NA	32074	F	G	28	yes	yes	Subspecies designation based on location	NA	Maui	5-Mar-2001	Waikato	OK
NA	Maui dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHENI058	NA	CheNI058	Cephalorhynchus hectori maui	-37.2823	174.6531	beachcast (prob. Entanglement)	NA	Auckland (South Auckland)	NA	subadult	Unknown	NA	N/A	320	NA	WB01-27Chm	NA	NA	32339	M	G	6	no	no	Subspecies designation based on location	NA	Maui	27-May-2001	Waikato	OK
NA	Maui dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHENI059	NA	CheNI059	Cephalorhynchus hectori maui	-37.3889	174.7262	beachcast (prob. Entanglement)	Eamown Ganley	Auckland (South Auckland)	1.33	juvenile	Male	NA	N/A	323	NA	WB01-41Ch	NA	NA	32441	M	G	30	yes	yes	Subspecies designation based on location	NA	Maui	22-Jul-2001	Waikato	OK
NA	Maui dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHENI060	NA	CheNI060	Cephalorhynchus hectori maui	-37.0835	174.4284	beachcast (floating)	Karl McLeod/Simon Mowbray	Auckland	NA	adult	Male	NA	H45/02	334	NA	WB02-12Chm	NA	NA	32972	M	G	26	no	no	Subspecies designation based on location	H045	Maui	3-Feb-2002	Auckland	OK
NA	Maui dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHENI061	NA	CheNI061	Cephalorhynchus hectori maui	-37.0443	174.5772	beachcast, entangled (set net)	Simon Mowbray	Auckland	NA	adult	Male	NA	H46/02 or H47/02	336	NA	WB02-15Chm	NA	NA	33111	M	G	27	no	no	Subspecies designation based on location	H046	Maui	21-Feb-2002	Auckland	OK
NA	Maui dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHENI062	NA	CheNI062	Cephalorhynchus hectori maui	-37.2602	174.6414	beachcast, entangled (set net)	Simon Mowbray	Auckland	NA	subadult	Male	NA	H48/02	337	NA	WB02-16Chm	NA	NA	33112	M	G	28	yes	yes	Subspecies designation based on location	H048	Maui	21-Feb-2002	Auckland	OK
NA	Maui dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHENI092	NA	CheNI092	Cephalorhynchus hectori maui	-36.8848	174.4376	beachcast	Karl McLeod	Auckland	NA	subadult	Male	NA	H70/03	355	NA	WB03-19Chm	NA	NA	34780	M	G	26	no	no	Subspecies designation based on location	H070	Maui	4-Jun-2003	Auckland	OK
NA	Hector's dolphin	CheSI02	NA	Near Waimakariri River, Pegasus Bay	Canterbury	Pacific	NA	NA	NA	No	NA	TL 1.29m	NA	CHESI02	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI East Coast	2-Feb-2001	Pegasus Bay	OK
Yes	Hector's dolphin	CheSI03 (H41/01)	NA	2km Nth of Buller rivermouth, Westport	West Coast	Tasman	NA	NA	NA	No	NA	TL 1.30m	NA	CHESI03	NA	CheSI03	Cephalorhynchus hectori hectori	NA	NA	beachcast	Martin Abel	Buller	0.79	NA	Female	NA	H41/01	NA	NA	WB02-02Chh	NA	NA	32848	F	Ca	14	yes	yes	"NA"	H041	SI West Coast	31-Oct-2001	Westport	OK
NA	Hector's dolphin	CheSI04	NA	Hokitika, 60m Nth of sewage plants, NZMS260 J32 23452 58328	West Coast	Tasman	NA	NA	NA	No	NA	TL 1.43m	NA	CHESI04	NA	CheSI04	Cephalorhynchus hectori hectori	NA	NA	beachcast	Don Neale	Hokitika	0.66	NA	Female	NA	NA	NA	NA	NA	NA	NA	NA	F	Hc	14	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI West Coast	18-Feb-2002	Hokitika	OK
NA	Hector's dolphin	CheSI05	NA	Fox River Beach, Paparoa, north of Punakaiki	West Coast	Tasman	NA	NA	NA	No	NA	TL 1.33m	NA	CHESI05	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI West Coast	31-Mar-2002	Barrytown/Punakaiki	OK
NA	Hector's dolphin	CheSI06	NA	Kaihinu, 5km Nth Hokitika	West Coast	Tasman	NA	NA	NA	No	NA	TL 1.33m	NA	CHESI06	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI West Coast	13-Apr-2002	Hokitika	OK
NA	Hector's dolphin	CheSI07	NA	Halfway between Beach Rd(Fairdown) and Whareatea R mouth, near Westport	West Coast	Tasman	NA	NA	NA	No	NA	TL 1.23m, net marked	NA	CHESI07	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI West Coast	23-Nov-1999	Westport	OK
NA	Hector's dolphin	CheSI08	NA	Halfway between Beach Rd(Fairdown) and Whareatea R mouth, near Westport	West Coast	Tasman	NA	NA	NA	No	NA	TL 0.84m,	NA	CHESI08	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI West Coast	23-Nov-1999	Westport	OK
NA	Hector's dolphin	CheSI09	NA	150m inshore marker buoy in Port Levy, Banks Peninsula	Canterbury	Pacific	NA	NA	NA	No	NA	TL 1.08m,	NA	CHESI09	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI East Coast	29-Oct-2000	Banks Peninsula	OK
NA	Hector's dolphin	CheSI12	NA	Below MHWS, opposite Leithfield Motor Camp, Pegasus Bay	Canterbury	Pacific	NA	NA	NA	No	NA	TL 1.09m, Net marks	NA	CHESI12	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI East Coast	19-Dec-2000	Pegasus Bay	OK
Yes	Hector's dolphin	CheSI26 (H43/01)	NA	300m Sth of Paroa Hotel NZMS260 J32 23592 58531	West Coast	Tasman	NA	NA	NA	No	NA	TL 0.92m, Net marks	NA	CHESI26	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	H043	SI West Coast	22-Dec-2001	Greymouth	OK
NA	Hector's dolphin	CheSI31	NA	600m Sth Waikuku Beach Settlement, Pegasus Bay	Canterbury	Pacific	NA	NA	NA	No	NA	TL 1.05m	NA	CHESI31	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI East Coast	14-Dec-2000	Pegasus Bay	OK
NA	Hector's dolphin	CheSI53	NA	Pororari Beach spit, Punakaiki	West Coast	Tasman	NA	NA	NA	No	NA	TL 1.25m	NA	CHESI53	NA	CheSI53	Cephalorhynchus hectori hectori	NA	NA	beachcast	Don Neale	Hokitika	1.3	NA	Female	NA	H56/02	NA	NA	WB03-06Chh	NA	NA	34371	F	Ha	14	yes	yes	NZCETA made this observation of Sex 'Unknown'	H056	SI West Coast	14-Aug-2002	Barrytown/Punakaiki	OK
NA	Hector's dolphin	CheSI55	NA	Barrytown Beach, Buller	West Coast	Tasman	NA	NA	NA	No	NA	TL 1.25m	NA	CHESI55	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI West Coast	2-Sep-2018	Barrytown/Punakaiki	OK
NA	Hector's dolphin	CheSIFP	NA	Quail Island, Lyttelton Harbour	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesgillnettedfrozen tissue and 2 teeth from MoNZalternate code = CETOS 8739	NA	CHESIFP_CETOS8739	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI East Coast	3-Mar-2000	Lyttelton	OK
NA	Hector's dolphin	CheSIFP	NA	Washdyke, Timaru	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesbeachcast for several weeks before foundalternate code = CETOS 9693	NA	CHESIFP_CETOS9693	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI East Coast	23-Dec-2001	Timaru	OK
NA	Hector's dolphin	CheSIFP	NA	Bold Head 20km Sth Hokitika	West Coast	Tasman	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesbeachcast with net marksTL = 1.23malternate code = H28/99	NA	CHESIFP_H28	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI West Coast	5-Jul-2000	Hokitika	OK
NA	Hector's dolphin	CheSIFP	NA	Head of Harbour, Port Levy, Banks Peninsula	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesbeachcast with net marksTL = 0.920malternate code = H32/00	NA	CHESIFP_H32	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI East Coast	20-Jul-2001	Banks Peninsula	OK
NA	Hector's dolphin	CheSIFP	NA	North Coast of Arawhata River, Haast	West Coast	Tasman	NA	NA	NA	NA	NA	NA	Tooth samles. In a plastic bag which was moved to a tube with ethanol. No data available. No H code. Labled and eneterd to the database by Sahar. Massey code: None	CHESIFP_NA	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI West Coast	23-Jul-1999	Haast/Jackson Bay	OK
NA	Hector's dolphin	CheSIFP	NA	In Rig Net off beach behind 39 Chambelain Ave, Amberley Beach, Pegasus Bay	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesfrozen tissue	NA	CHESIFP_NA2	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI East Coast	8-Jan-2001	Pegasus Bay	OK
Yes	Hector's dolphin	CheT	NA	Otago?	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesalternate code = CETOS 9694	NA	CHET	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI East Coast	NA	Otago	OK
NA	Hector's dolphin	CheTi01	NA	12NM N of Timaru, 4NM offshore	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notestooth	NA	CHETI01	NA	CheTI01	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	CETOS 8841	NA	F	C	6	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	31-Jan-1988	Timaru	OK
NA	Hector's dolphin	CheTi02	NA	12NM N of Timaru, 9NM offshore	Canterbury	Pacific	NA	NA	NA	NA	NA	NA	No data available. No H code. Eneterd to the database by Sahar. Massey code: None	CHETI02	NA	CheTI02	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	CETOS 8846	NA	M	C	0	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	30-Jan-1988	Timaru	OK
NA	Hector's dolphin	CheTi03	NA	18NM S of Timaru, 1.5NM offshore	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesnettedalternate code = CETOS 9365	NA	CHETI03	NA	CheTI03	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	CETOS 8739	NA	M	C	6	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	10-Mar-1994	Timaru	OK
NA	Hector's dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHETI04	NA	CheTI04	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CETOS 9581	NA	M	C	16	yes	yes	Subspecies designation based on location	NA	NA	1995	NA	OK
NA	Hector's dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHETI05	NA	CheTI05	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CETOS 9583	NA	M	C	16	yes	yes	Subspecies designation based on location	NA	NA	1995	NA	OK
NA	Hector's dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHETI06	NA	CheTI06	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CETOS 9584	NA	M	D	20	yes	yes	Subspecies designation based on location	NA	NA	1995	NA	OK
NA	Hector's dolphin	CheTi08	NA	Timaru NZMS260 J39K39 713454	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesalternate code = CETOS 9366	NA	CHETI08	NA	CheTI08	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	CETOS 9698	NA	M	C	16	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	7-Feb-1995	Timaru	OK
NA	Hector's dolphin	CheTi09	NA	Timaru, Rangitata River Mouth	Canterbury	Pacific	NA	NA	NA	NA	NA	TL 1.34m	Eneterd to the database by Sahar. Massey code: WB03-05Chh	CHETI09	NA	CheTI09	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	CETOS 9699	NA	M	C	6	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	28-Dec-1995	Timaru	OK
NA	Hector's dolphin	CheTi10	NA	Timaru Harbour	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesalternate code = CETOS 9367	NA	CHETI10	NA	CheTI10	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	CETOS 96103	NA	M	C	16	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI East Coast	20-Feb-1995	Timaru	OK
NA	Hector's dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHETWW01	NA	CheTW01	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CETOS 8507	NA	F	L	1	no	no	Subspecies designation based on location	NA	NA	1985	NA	OK
NA	Hector's dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHETWW02	NA	CheTW02	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CETOS 8728	NA	F	M	1	no	no	Subspecies designation based on location	NA	NA	1986	NA	OK
NA	Hector's dolphin	CheTWW04	Oct-96	Te Waewae Bay, Colac Bay	Southland	Pacific	NA	NA	NA	NA	NA	NA	No H code. Eneterd to the database by Sahar. Massey code: None	CHETWW04	NA	CheTW04	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	CETOS 9693	NA	F	M	6	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;NZCETA had a Date_stranded of '11/04/1996', DOC_Massey had a Collection_Date of '6/8/1996 or 4/11/96' (assume 4/11 is actually meant to be 11/4). Going with 11-Apr-1996 seeing as both fields had that date	NA	SI South Coast	11-Apr-1996	Te Waewae	OK
NA	Hector's dolphin	CheTWW05	Oct-96	Te Waewae Bay, Bluecliffs	Southland	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesalternate code = CETOS 9368	NA	CHETWW05	NA	CheTW05	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	CETOS 9695	NA	F	L	6	yes	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI South Coast	13-Jan-1996	Te Waewae	OK
NA	Hector's dolphin	CheTWW07	NA	unknown/Stewart Island??	Southland	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesalternate code = CETOS 9369	NA	CHETWW07	NA	CheTW07	Cephalorhynchus hectori hectori	NA	NA	museum/beachcast	NA	NA	NA	NA	Unknown	NA	NA	NA	VT173	NA	NA	NA	NA	NA	C	0	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead. Differences in date seem to be driven by this being a museum sample;NZCETA had Date_stranded of '24/04/2005', DOC_Massey had Collection_Date of '1937'	NA	SI South Coast	1937	Stewart Island	OK
Yes	Hector's dolphin	CheWC	NA	Westport	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesalternate code = CETOS 9370	NA	CHEWC	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location	NA	SI West Coast	26-Feb-1996	Westport	OK
NA	Hector's dolphin	CheWC01	NA	Hokitika River mouth	West Coast	Tasman	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesalternate code = CETOS 9371	NA	CHEWC001	NA	CheWC001	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	CETOS 9365	NA	F	H	16	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI West Coast	18-Oct-1992	Hokitika	OK
NA	Hector's dolphin	CheWC02	NA	Blaketown tiphead, Greymouth	West Coast	Tasman	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesfrozen tissuealternate code = CETOS 9372	NA	CHEWC002	NA	CheWC002	Cephalorhynchus hectori hectori	NA	NA	beachcast	Steve Dawson and Liz Slooten	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	CETOS 9366	NA	F	I	16	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI West Coast	28-Oct-1992	Greymouth	OK
NA	Hector's dolphin	CheWC03	NA	Hokitika River mouth	West Coast	Tasman	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesfrozen tissuegillnettedalternate code = CETOS 9587	NA	CHEWC003	NA	CheWC003	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	CETOS 9367	NA	M	K	16	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI West Coast	2-Nov-1992	Hokitika	OK
NA	Hector's dolphin	CheWC04	NA	Mussel rocks, Westport	West Coast	Tasman	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesreported caught in gillnetalternate code = CETOS 9692	NA	CHEWC004	NA	CheWC004	Cephalorhynchus hectori hectori	NA	NA	beachcast	Steve Dawson and Liz Slooten	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	CETOS 9368	NA	M	J	16	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI West Coast	9-Nov-1992	Westport	OK
NA	Hector's dolphin	CheWC05	NA	Westport	West Coast	Tasman	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesalternate code = CETOS 9697	NA	CHEWC005	NA	CheWC005	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	CETOS 9369	NA	M	H	16	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI West Coast	11-Nov-1992	Westport	OK
NA	Hector's dolphin	CheWC06	NA	Westport, Granity	West Coast	Tasman	NA	NA	NA	NA	NA	NA	No data available. No H code. Eneterd to the database by Sahar.Two samples, one disposed. Massey code: None	CHEWC006	NA	CheWC006	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	CETOS 9370	NA	M	J	16	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI West Coast	22-Nov-1992	Westport	OK
NA	Hector's dolphin	CheWC07	NA	Westport, Granity	West Coast	Tasman	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesalternate code = massey WS97.58	NA	CHEWC007	NA	CheWC007	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CETOS 9371	NA	M	J	16	yes	yes	"NA"	NA	SI West Coast	14-Dec-1992	Westport	OK
NA	Hector's dolphin	CheWC08	NA	Westport, Birchfield beach	West Coast	Tasman	NA	NA	NA	NA	NA	NA	No data available. No H code. Eneterd to the database by Sahar. Two samples, one disposed. Massey code: None	CHEWC008	NA	CheWC008	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	CETOS 9372	NA	M	J	16	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI West Coast	24-Feb-1993	Westport	OK
NA	Hector's dolphin	CheWC10	NA	Hokitika Beach	West Coast	Tasman	NA	NA	NA	NA	NA	NA	No data available. No H code. Eneterd to the database by Sahar. Massey code: None	CHEWC010	NA	CheWC010	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	CETOS 9587	NA	M	H	16	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead	NA	SI West Coast	26-Aug-1993	Hokitika	OK
